floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,19,1.636896856535949,1.72,1.64,1.72,35.32,21.32
1,19,1.5051659848040775,1.73,3.15,3.45,36.01,28.802570299916187
2,19,1.5138415498949895,1.6,4.66,5.05,36.69,28.99257029991619
3,19,1.4614514984149092,1.65,6.12,6.7,37.33,30.630000000000003
4,19,1.499325451653511,1.45,7.62,8.15,37.98,30.07
5,19,1.5093759837056522,1.3,9.13,9.45,38.56,30.14
6,19,1.5433247385295652,1.41,10.67,10.86,39.07,29.61
7,19,1.5910843158252057,1.56,12.26,12.42,39.63,28.790000000000003
8,19,1.5825991721414245,1.88,13.84,14.3,40.24,29.310000000000006
9,19,1.6006659533598195,1.63,15.44,15.93,40.98,29.130000000000003
10,19,1.6851679063669482,1.98,17.13,17.91,41.62,27.380000000000003
11,19,1.6799032566688303,1.56,18.81,19.47,42.39,27.76
12,19,1.7037153288397102,1.96,20.51,21.43,43.0,27.41
13,19,1.6853620689988982,1.46,22.2,22.89,43.76,28.07
14,19,1.6584446590950692,1.76,23.86,24.65,44.33,28.84
15,19,1.6308033021969448,1.69,25.49,26.34,45.01,29.64
16,19,1.6164206821069584,1.54,27.11,27.88,45.66,30.13
17,19,1.7018307123605452,1.58,28.81,29.46,46.26,28.45
18,19,1.6702495375564035,1.96,30.48,31.42,46.87,29.299999999999997
19,19,1.7653076346245926,1.81,32.25,33.23,47.62,27.47
20,19,1.8127456212406179,2.08,34.06,35.31,48.31,26.64
21,19,1.838385841454284,1.68,35.9,36.99,49.11,26.319999999999997
22,19,1.8478458160971476,1.89,37.75,38.88,49.75,26.309999999999995
23,19,1.886056643322104,2.0,39.64,40.88,50.47,25.680000000000003
24,19,1.858242985228896,1.81,41.5,42.69,51.23,26.56
25,19,1.8720531003203682,1.76,43.37,44.45,51.91,26.57
26,19,1.8574173960161555,1.57,45.23,46.02,52.58,27.160000000000004
27,19,1.9269754962643826,2.04,47.16,48.06,53.17,25.97
28,19,1.948459213712204,1.99,49.11,50.05,53.94,25.86
29,19,1.9773457145232411,2.21,51.09,52.26,54.68,25.580000000000002
30,19,1.8783736857696007,1.84,52.97,54.1,55.51,27.900000000000002
31,19,1.8249569172557647,1.7,54.79,55.8,56.2,29.180000000000003
32,19,1.8722846929521568,2.05,56.66,57.85,56.83,28.500000000000004
33,19,1.86524607830132,2.1,58.53,59.95,57.59,28.900000000000002
34,19,1.896135615937772,1.76,60.43,61.71,58.37,28.59
35,19,1.9097131696901022,2.12,62.34,63.83,59.02,28.560000000000002
36,19,1.9381565682486368,2.0,64.28,65.83,59.8,28.300000000000004
37,19,1.8916327578497931,2.0,66.17,67.83,60.53,29.390000000000004
38,19,1.8896484944401002,1.93,68.06,69.76,61.27,29.660000000000004
39,19,1.8692959945550278,2.09,69.93,71.85,61.97,30.240000000000006
40,19,1.8562915113519476,1.76,71.79,73.61,62.74,30.700000000000003
41,19,1.8645608972253902,1.97,73.65,75.58,63.38,30.740000000000002
42,19,1.9191674029117542,2.0,75.57,77.58,64.09,29.99
43,19,1.9152173801157197,1.94,77.49,79.52,64.82,30.27
44,19,1.9878408965528636,2.15,79.48,81.67,65.52,29.220000000000002
45,19,1.9147394446632044,1.73,81.39,83.4,66.29,30.689999999999998
46,19,1.9819665311861159,1.87,83.37,85.27,66.91,29.72
47,19,2.00614723867875,1.94,85.38,87.21,67.58,29.499999999999996
48,19,2.081797240101721,1.81,87.46,89.02,68.28,28.43
49,19,1.9578768011569645,1.73,89.42,90.75,68.92,30.67
50,19,2.014349809679855,1.72,91.43,92.47,69.54,29.9
51,19,2.03275405944175,2.15,93.46,94.62,70.15,29.759999999999998
52,19,2.04136431422281,2.03,95.5,96.65,70.91,29.819999999999997
53,19,2.109231206625124,2.08,97.61,98.73,71.63,28.91
54,19,2.0689646092171756,2.02,99.68,100.75,72.36,29.75
55,19,2.126083901594446,1.95,101.81,102.7,73.07,29.02
56,19,2.1127197547195133,2.01,103.92,104.71,73.76,29.409999999999997
57,19,2.2020592848297684,1.96,106.12,106.67,74.46,28.18
58,19,2.2146719473144922,2.32,108.33,108.99,75.14,28.160000000000004
59,19,2.225547067298876,2.15,110.56,111.14,75.95,28.2
60,19,2.1127491591978464,2.23,112.67,113.37,76.7,30.13
61,19,2.0716002821538884,1.95,114.74,115.32,77.47,30.94
62,19,2.075570834033448,2.28,116.82,117.6,78.14,31.03
63,19,2.1564803901896448,2.18,118.98,119.78,78.92,29.98
64,19,2.1192335335035315,2.03,121.1,121.81,79.67,30.71
65,19,2.212615188181048,2.47,123.31,124.28,80.37,29.470000000000002
66,19,2.3469001139115395,2.36,125.66,126.64,81.21,27.67
67,19,2.2811859005771478,2.51,127.94,129.15,82.01,28.83
68,19,2.238981109577074,2.18,130.18,131.33,82.86,29.639999999999997
69,19,2.1929396701612824,2.07,132.37,133.4,83.6,30.469999999999995
70,19,2.33119858678104,2.31,134.7,135.71,84.3,28.619999999999997
71,19,2.2554612975462756,2.03,136.96,137.74,85.08,29.88
72,19,2.1995718499737835,2.24,139.16,139.98,85.76,30.82
73,19,2.283490347767735,2.1,141.44,142.08,86.51,29.78
74,19,2.2455220319128943,2.28,143.69,144.36,87.21,30.46
75,19,2.227639846786901,1.94,145.92,146.3,87.96,30.86
76,19,2.301211753086293,2.47,148.22,148.77,88.61,29.959999999999997
77,19,2.2645137027923563,2.03,150.48,150.8,89.42,30.63
78,19,2.322437759754178,2.04,152.8,152.84,90.09,29.959999999999997
79,19,2.388109557522764,2.66,155.19,155.5,90.76,29.189999999999998
80,19,2.470662914060766,2.18,157.66,157.68,91.64,28.24
81,19,2.4282870170568382,2.53,160.09,160.21,92.35,28.96
82,19,2.433610391272312,2.2,162.52,162.41,93.17,29.050000000000004
83,19,2.4440713051205276,2.37,164.96,164.78,93.89,29.05
84,19,2.586443735701123,2.38,167.55,167.16,94.66,27.299999999999997
85,19,2.5370734751314736,2.35,170.09,169.51,95.42,28.11
86,19,2.562785359290509,2.74,172.65,172.25,96.18,27.92
87,19,2.61176583074177,2.4,175.26,174.65,97.06,27.45
88,19,2.73824825444102,2.77,178.0,177.42,97.83,25.95
89,19,2.611962476618835,2.71,180.61,180.13,98.71,27.769999999999996
90,19,2.6216033973164032,2.56,183.23,182.69,99.57,27.810000000000002
