floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,1,1.7302942340000005,1.93,1.73,1.93,36.21,21.32
1,1,1.6168046694402816,1.43,3.35,3.36,36.93,25.765549348838753
2,1,1.6126405803809052,1.47,4.96,4.83,37.46,26.22554934883875
3,1,1.56812518838436,1.28,6.53,6.11,38.01,27.48554934883875
4,1,1.668370456,1.38,8.2,7.49,38.48,25.63
5,1,1.67699084,1.6,9.88,9.09,39.0,25.78
6,1,1.6739288239999999,1.47,11.55,10.56,39.59,26.22
7,1,1.6785776259999998,1.89,13.23,12.45,40.13,26.439999999999998
8,1,1.7433796777957007,1.58,14.97,14.03,40.83,25.32
9,1,1.6430543981874117,1.82,16.61,15.85,41.41,27.590000000000003
10,1,1.745978501891809,1.83,18.36,17.68,42.08,25.770000000000003
11,1,1.6947803077465078,1.81,20.05,19.49,42.75,27.04
12,1,1.712466136590992,1.58,21.76,21.07,43.41,26.91
13,1,1.665995559526639,1.95,23.43,23.02,43.98,27.919999999999998
14,1,1.6616157394871753,1.52,25.09,24.54,44.69,28.179999999999996
15,1,1.7493046454586623,1.5,26.84,26.04,45.25,26.770000000000003
16,1,1.7326665501015477,1.47,28.57,27.51,45.79,27.23
17,1,1.771171574681127,1.59,30.34,29.1,46.32,26.67
18,1,1.7740344667361467,1.75,32.11,30.85,46.9,26.78
19,1,1.7979400667853442,1.55,33.91,32.4,47.53,26.51
20,1,1.7957733420393946,1.92,35.71,34.32,48.08,26.700000000000003
21,1,1.7259641248612394,1.95,37.44,36.27,48.77,28.070000000000007
22,1,1.8227218369640439,1.58,39.26,37.85,49.47,26.570000000000004
23,1,1.7536568295017156,1.89,41.01,39.74,50.04,27.890000000000004
24,1,1.8644117551707116,2.03,42.87,41.77,50.71,26.120000000000005
25,1,1.8612228059499991,2.16,44.73,43.93,51.43,26.410000000000007
26,1,1.9105484199999996,1.91,46.64,45.84,52.2,25.800000000000004
27,1,1.884389387199999,1.8,48.52,47.64,52.88,26.520000000000003
28,1,1.8874548262999993,1.93,50.41,49.57,53.51,26.680000000000007
29,1,1.9158319817999998,1.72,52.33,51.29,54.19,26.420000000000005
30,1,1.8465993979999982,1.56,54.18,52.85,54.8,27.730000000000008
31,1,1.9349250542499987,2.19,56.11,55.04,55.35,26.47000000000001
32,1,2.00911933605,2.04,58.12,57.08,56.11,25.43
33,1,1.8636162217,1.56,59.98,58.64,56.83,27.999999999999996
34,1,2.0064709944500003,1.93,61.99,60.57,57.37,25.89
35,1,1.9310890577999997,2.18,63.92,62.75,58.04,27.290000000000003
36,1,2.010740511999999,2.21,65.93,64.96,58.8,26.240000000000002
37,1,2.0294167909499996,1.84,67.96,66.8,59.57,26.15
38,1,2.073604520000001,2.05,70.03,68.85,60.2,25.599999999999998
39,1,2.0622638228,1.97,72.09,70.82,60.91,25.979999999999997
