floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,14,1.7975160100000003,2.08,1.8,2.08,37.1,18.79
1,14,1.8293972659999995,1.57,3.63,3.65,37.98,18.79
2,14,1.857542984,1.8,5.49,5.45,38.64,18.270000000000003
3,14,1.879427009,2.14,7.37,7.59,39.39,18.810000000000002
4,14,1.9099684401215915,1.81,9.28,9.4,40.29,18.77
5,14,1.9267435263612247,2.0,11.21,11.4,41.05,18.88
6,14,1.9470558272308518,1.66,13.16,13.06,41.88,18.81
7,14,1.9657063555282444,2.2,15.13,15.26,42.57,18.599999999999998
8,14,1.9471854782528695,1.99,17.08,17.25,43.48,20.75
9,14,1.9915001024955887,2.07,19.07,19.32,44.31,19.46
10,14,2.033301613496201,2.13,21.1,21.45,45.16,17.890000000000004
11,14,2.037333747242395,1.98,23.14,23.43,46.04,18.96
12,14,2.0559805659883006,2.32,25.2,25.75,46.85,18.869999999999997
13,14,2.070233060848491,2.31,27.27,28.06,47.8,19.16
14,14,2.118421418275878,1.85,29.39,29.91,48.74,17.34
15,14,2.099211181928089,2.38,31.49,32.29,49.49,19.380000000000003
16,14,2.105388118486796,1.93,33.6,34.22,50.46,19.900000000000002
17,14,2.1266946087999994,2.05,35.73,36.27,51.24,19.720000000000002
18,14,2.1237403291999994,2.06,37.85,38.33,52.07,20.62
19,14,2.1656721549999993,2.45,40.02,40.78,52.9,19.900000000000002
20,14,2.151568223199999,1.98,42.17,42.76,53.88,21.160000000000004
21,14,2.2005122516999993,2.02,44.37,44.78,54.67,20.240000000000006
22,14,2.2181175662,2.23,46.59,47.01,55.48,20.310000000000006
23,14,2.2237425921999994,2.4,48.81,49.41,56.37,20.780000000000005
24,14,2.261778236199999,2.0,51.07,51.41,57.32,20.310000000000006
25,14,2.274180427299999,2.42,53.34,53.83,58.11,20.480000000000008
26,14,2.333104471799999,2.05,55.67,55.88,59.06,19.340000000000003
27,14,2.282944549699999,2.16,57.95,58.04,59.87,21.280000000000005
28,14,2.338417415199999,2.05,60.29,60.09,60.72,20.300000000000004
29,14,2.3229039912,2.28,62.61,62.37,61.52,21.140000000000004
30,14,2.34872572555,2.28,64.96,64.65,62.41,20.950000000000003
31,14,2.3856899595499987,2.28,67.35,66.93,63.29,20.470000000000002
32,14,2.4210453561999996,2.69,69.77,69.62,64.18,20.02
33,14,2.3987027241999996,2.19,72.17,71.81,65.22,21.060000000000002
34,14,2.4025071207999993,2.37,74.57,74.18,66.06,21.32
35,14,2.4422920776999995,2.52,77.01,76.7,66.97,20.8
36,14,2.4355588367999994,2.15,79.45,78.85,67.94,21.32
37,14,2.4222696477999994,2.3,81.87,81.15,68.76,21.87
38,14,2.4871986014499994,2.23,84.36,83.38,69.63,20.830000000000002
39,14,2.538605481199999,2.47,86.9,85.85,70.48,20.01
40,14,2.5466044127999985,2.33,89.45,88.18,71.41,20.180000000000003
41,14,2.615757919549999,2.88,92.07,91.06,72.29,18.910000000000004
42,14,2.6008339297,2.72,94.67,93.78,73.37,19.680000000000003
43,14,2.5812309200499994,2.58,97.25,96.36,74.39,20.430000000000003
44,14,2.637853846999999,2.6,99.89,98.96,75.35,19.540000000000003
45,14,2.6494137471999992,2.51,102.54,101.47,76.32,19.600000000000005
46,14,2.5829209187499993,2.47,105.12,103.94,77.25,21.150000000000002
47,14,2.5593398847999995,2.74,107.68,106.68,78.16,21.76
48,14,2.607471964449999,2.91,110.29,109.59,79.17,21.13
49,14,2.655693710799999,2.47,112.95,112.06,80.24,20.490000000000002
50,14,2.7213716662999996,2.84,115.67,114.9,81.14,19.45
51,14,2.7799968711999985,2.7,118.45,117.6,82.18,18.520000000000003
52,14,2.7643235127999986,2.77,121.21,120.37,83.16,19.08
53,14,2.7333435567999995,2.98,123.94,123.35,84.16,19.87
54,14,2.67202808395,2.8,126.61,126.15,85.23,21.09
55,14,2.8041772287999995,2.57,129.41,128.72,86.24,18.96
56,14,2.8718120379999994,2.75,132.28,131.47,87.15,17.82
57,14,2.8154159634499982,2.82,135.1,134.29,88.13,19.090000000000003
58,14,2.8411101792999993,2.98,137.94,137.27,89.14,18.79
59,14,2.8743783670499994,2.9,140.81,140.17,90.19,18.35
60,14,2.9260297007999996,3.04,143.74,143.21,91.21,17.54
61,14,2.7876923842000005,2.75,146.53,145.96,92.28,20.09
62,14,2.8214058777999993,2.67,149.35,148.63,93.24,19.65
63,14,2.8555898579499996,2.88,152.21,151.51,94.17,19.189999999999998
64,14,2.8792838792,2.82,155.09,154.33,95.17,18.9
65,14,2.9551029032499994,3.25,158.05,157.58,96.15,17.709999999999997
66,14,2.8233533939499997,3.04,160.87,160.62,97.27,19.93
67,14,2.72231811805,2.97,163.59,163.59,98.31,21.389999999999997
68,14,2.7659958662000004,3.05,166.36,166.64,99.32,20.829999999999995
69,14,2.854565418800001,2.94,169.21,169.58,100.36,19.619999999999994
70,14,2.7129709968,2.96,171.92,172.54,101.36,21.55999999999999
71,14,2.843183924799999,2.69,174.76,175.23,102.36,19.839999999999993
72,14,2.760989440299999,2.93,177.52,178.16,103.26,20.949999999999992
73,14,2.8339771907499993,2.98,180.35,181.14,104.25,19.989999999999995
74,14,2.6623570108,2.68,183.01,183.82,105.24,22.13999999999999
75,14,2.8185691559500006,2.62,185.83,186.44,106.13,20.18999999999999
76,14,2.802943118,2.62,188.63,189.06,107.0,20.37999999999999
77,14,2.6200280432,2.78,191.25,191.84,107.87,22.539999999999992
78,14,2.7418727917,2.57,193.99,194.41,108.78,21.089999999999993
79,14,2.8001539094499996,2.9,196.79,197.31,109.63,20.34999999999999
80,14,2.778637991199999,2.96,199.57,200.27,110.57,20.57999999999999
81,14,2.7140279097999995,2.94,202.28,203.21,111.54,21.29999999999999
82,14,2.674256292799999,2.84,204.95,206.05,112.49,21.69999999999999
83,14,2.6592870810499996,2.58,207.61,208.63,113.41,21.809999999999988
84,14,2.7589962928,2.93,210.37,211.56,114.24,20.62999999999999
85,14,2.6380929012,2.43,213.01,213.99,115.18,21.91999999999999
86,14,2.6951664007999994,2.43,215.71,216.42,115.96,21.239999999999988
87,14,2.7331695187,2.45,218.44,218.87,116.73,20.759999999999987
88,14,2.52683966755,2.55,220.97,221.42,117.51,22.889999999999986
