floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,18,1.8789252853422858,2.09,1.88,2.09,42.0,21.32
1,18,1.918472486276478,2.11,3.8,4.2,42.77,21.32
2,18,1.932944722870793,2.17,5.73,6.37,43.55,21.380000000000003
3,18,1.9486188093612673,1.94,7.68,8.31,44.34,21.390000000000004
4,18,1.9929485636627051,2.11,9.67,10.42,45.06,20.180000000000003
5,18,2.0171997748186334,1.82,11.69,12.24,45.83,19.790000000000003
6,18,2.012914197234027,1.97,13.7,14.21,46.49,20.560000000000002
7,18,2.039183000241318,2.31,15.74,16.52,47.21,20.060000000000002
8,18,2.045762184200645,2.14,17.79,18.66,48.05,20.46
9,18,2.0103105167258364,1.83,19.8,20.49,48.82,22.12
10,18,2.0758748853528455,2.14,21.88,22.63,49.48,20.34
11,18,2.094591694060305,2.09,23.97,24.72,50.25,20.17
12,18,2.0468756619999997,1.99,26.02,26.71,51.0,22.14
13,18,2.0229136941999997,1.96,28.04,28.67,51.72,23.209999999999997
14,18,2.074380390699999,2.16,30.11,30.83,52.42,22.33
15,18,2.1245399517999997,2.02,32.23,32.85,53.19,21.459999999999997
16,18,2.098210098549999,1.87,34.33,34.72,53.91,22.61
17,18,2.18520040345,2.28,36.52,37.0,54.57,20.650000000000002
18,18,2.1521065881999997,2.2,38.67,39.2,55.38,22.1
19,18,2.240473676799999,2.06,40.91,41.26,56.16,20.12
20,18,2.2079228767999988,2.14,43.12,43.4,56.89,21.54
21,18,2.1922602838,1.95,45.31,45.35,57.64,22.33
22,18,2.261307929199999,2.16,47.57,47.51,58.32,20.969999999999995
23,18,2.2003053132,2.38,49.77,49.89,59.08,22.819999999999997
24,18,2.2149681148,2.41,51.98,52.3,59.91,22.859999999999992
25,18,2.305001373249999,2.42,54.29,54.72,60.75,21.189999999999994
26,18,2.273899616800001,2.4,56.56,57.12,61.59,22.299999999999994
27,18,2.2672720387000003,2.56,58.83,59.68,62.42,22.769999999999992
28,18,2.32838693805,2.07,61.16,61.75,63.31,21.83
29,18,2.2490349457,2.08,63.41,63.83,64.02,23.67
30,18,2.2913022013,2.44,65.7,66.27,64.74,23.11
31,18,2.3936057366999997,2.35,68.09,68.62,65.57,21.319999999999997
32,18,2.2194062221999995,2.4,70.31,71.02,66.38,24.82
33,18,2.0831191119999994,2.29,72.39,73.31,67.2,27.01
34,18,2.046882517199999,2.24,74.44,75.55,67.97,27.62
35,18,2.0053132911999993,2.15,76.45,77.7,68.73,28.26
36,18,2.0087935953000007,2.11,78.46,79.81,69.46,28.31
37,18,2.0629663686999997,1.85,80.52,81.66,70.17,27.72
38,18,2.2233900699999993,1.98,82.74,83.64,70.8,25.65
39,18,2.0564929527999998,2.01,84.8,85.65,71.46,27.96
40,18,2.104499986799999,2.16,86.9,87.81,72.14,27.44
41,18,2.1404139862999987,2.37,89.04,90.18,72.86,27.070000000000004
42,18,2.1175046612500004,1.87,91.16,92.05,73.65,27.45
43,18,2.081747607449999,2.0,93.24,94.05,74.27,27.950000000000003
44,18,2.0785083734499987,1.92,95.32,95.97,74.93,28.05
45,18,2.20244589595,2.23,97.52,98.2,75.57,26.59
46,18,2.2007481205499997,2.08,99.72,100.28,76.31,26.69
47,18,2.154835746299999,2.21,101.87,102.49,76.99,27.32
48,18,2.1963125391999996,2.33,104.07,104.82,77.72,26.88
49,18,2.290182305199999,2.48,106.36,107.3,78.48,25.77
50,18,2.2697292745000004,2.37,108.63,109.67,79.3,26.11
51,18,2.17219015345,2.42,110.8,112.09,80.07,27.349999999999998
52,18,2.1617467588,2.41,112.96,114.5,80.86,27.52
53,18,2.1743837348,2.12,115.13,116.62,81.64,27.419999999999998
54,18,2.040164459199999,2.2,117.17,118.82,82.32,28.92
55,18,2.14202460395,2.27,119.31,121.09,83.03,27.85
56,18,2.2075344027999995,2.25,121.52,123.34,83.76,27.150000000000002
57,18,2.1470001890499995,1.85,123.67,125.19,84.49,27.85
58,18,2.1216574732,1.89,125.79,127.08,85.08,28.14
59,18,2.204454647199998,2.3,127.99,129.38,85.68,27.26
60,18,2.105432404199999,2.07,130.1,131.45,86.42,28.340000000000003
61,18,2.2570368432,2.21,132.36,133.66,87.08,26.72
62,18,2.353315619199999,2.16,134.71,135.82,87.78,25.639999999999997
63,18,2.3348485007999997,2.19,137.04,138.01,88.46,25.88
64,18,2.262660253249999,2.26,139.3,140.27,89.15,26.71
65,18,2.2088714137999985,2.11,141.51,142.38,89.86,27.299999999999997
66,18,2.3237029602,2.29,143.83,144.67,90.53,26.059999999999995
67,18,2.3524600378,2.06,146.18,146.73,91.24,25.749999999999996
68,18,2.2619201975499985,2.23,148.44,148.96,91.89,26.75
69,18,2.2239497017,2.5,150.66,151.46,92.58,27.15
70,18,2.2399609047999998,2.4,152.9,153.86,93.36,26.98
71,18,2.1544644672999995,2.02,155.05,155.88,94.11,27.84
72,18,2.1954594202,2.32,157.25,158.2,94.73,27.42
73,18,2.1881527554999995,2.03,159.44,160.23,95.45,27.480000000000004
74,18,2.248455341199999,2.0,161.69,162.23,96.07,26.860000000000003
75,18,2.2373964671999986,2.31,163.93,164.54,96.68,26.96
76,18,2.1627772713,2.13,166.09,166.67,97.39,27.68
77,18,2.2178852607999984,2.21,168.31,168.88,98.04,27.12
78,18,2.305343507199999,2.49,170.62,171.37,98.72,26.220000000000002
79,18,2.1467091916999994,2.02,172.77,173.39,99.47,27.76
80,18,2.2676028553,2.29,175.04,175.68,100.09,26.560000000000006
81,18,2.0264668176999985,1.75,177.07,177.43,100.78,28.810000000000002
82,18,2.0488485117999993,2.1,179.12,179.53,101.31,28.580000000000002
83,18,2.1581771338,2.24,181.28,181.77,101.94,27.540000000000003
84,18,2.12328705855,2.11,183.4,183.88,102.61,27.83
85,18,2.2093724058000004,2.47,185.61,186.35,103.24,26.99
86,18,2.158233660699999,1.94,187.77,188.29,103.98,27.43
87,18,2.3480966307999984,2.25,190.12,190.54,104.56,25.57
88,18,2.408097791949999,2.41,192.53,192.95,105.23,24.93
89,18,2.4252427867999993,2.54,194.96,195.49,105.94,24.72
90,18,2.2337774592999997,2.33,197.19,197.82,106.69,26.56
