floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,10,1.702247372784609,2.0,1.7,2.0,37.39,21.32
1,10,1.6183307340980704,1.75,3.32,3.75,38.25,27.329966655180733
2,10,1.586352298472711,1.69,4.91,5.44,38.99,28.549966655180736
3,10,1.589938358868679,1.5,6.5,6.94,39.71,28.859966655180735
4,10,1.6346860973729356,1.88,8.13,8.82,40.35,28.139966655180736
5,10,1.6597188732028925,1.45,9.79,10.27,41.15,27.819966655180735
6,10,1.6558556479841247,1.49,11.45,11.76,41.76,28.109966655180735
7,10,1.6386822547683102,1.51,13.09,13.27,42.39,28.699966655180734
8,10,1.676173129337689,1.96,14.77,15.23,43.03,28.049966655180732
9,10,1.6263278813755975,1.41,16.4,16.64,43.85,29.40996665518073
10,10,1.7311315322647782,1.87,18.13,18.51,44.44,27.24996665518073
11,10,1.7274001195395454,1.9,19.86,20.41,45.22,27.579966655180733
12,10,1.7564442688033917,1.51,21.62,21.92,46.02,27.17996665518073
13,10,1.789744358477804,1.97,23.41,23.89,46.65,26.629966655180734
14,10,1.77519143948072,1.88,25.19,25.77,47.47,27.209966655180732
15,10,1.7274412519526092,1.86,26.92,27.63,48.25,28.459966655180732
16,10,1.7129784713364637,1.84,28.63,29.47,49.01,28.969966655180734
17,10,1.7273670153408727,1.53,30.36,31.0,49.77,28.869966655180733
18,10,1.8102328153099185,1.85,32.17,32.85,50.4,27.309966655180734
19,10,1.8702675747187327,2.01,34.04,34.86,51.16,26.269966655180735
20,10,1.8337135322908966,1.66,35.87,36.52,51.99,27.399966655180734
21,10,1.7989482806989658,1.69,37.67,38.21,52.67,28.379966655180738
22,10,1.7373161718686971,1.79,39.41,40.0,53.36,29.869966655180736
23,10,1.8232170533110623,1.85,41.23,41.85,54.08,28.43996665518074
24,10,1.8285467344253312,2.03,43.06,43.88,54.84,28.619966655180736
25,10,1.7594247097441618,1.84,44.82,45.72,55.66,30.25
26,10,1.74105712987116,1.62,46.56,47.34,56.4,30.85
27,10,1.775527247667858,1.58,48.34,48.92,57.05,30.41
28,10,1.78774194043158,1.75,50.13,50.67,57.69,30.39
29,10,1.777306250689317,1.63,51.91,52.3,58.39,30.81
30,10,1.9418985692961523,1.81,53.85,54.11,59.04,27.97
31,10,1.898924733132472,1.66,55.75,55.77,59.77,29.009999999999998
32,10,1.835409381144233,1.95,57.59,57.72,60.43,30.38
33,10,1.8813923850532912,2.05,59.47,59.77,61.21,29.790000000000003
34,10,1.9406944751215747,1.95,61.41,61.72,62.02,28.98
35,10,1.8910220181851622,1.99,63.3,63.71,62.79,30.099999999999998
36,10,1.8906415613253784,2.07,65.19,65.78,63.58,30.34
37,10,1.975346586245293,2.1,67.17,67.88,64.39,29.099999999999998
38,10,1.9639875465385017,2.09,69.13,69.97,65.21,29.539999999999996
39,10,2.0263472470988453,2.22,71.16,72.19,66.03,28.71
40,10,2.054355124417423,1.96,73.21,74.15,66.9,28.49
41,10,2.0865226230067364,2.09,75.3,76.24,67.66,28.17
42,10,2.077284232507952,2.06,77.38,78.3,68.47,28.560000000000002
43,10,2.1987326160061547,2.22,79.58,80.52,69.27,26.770000000000003
44,10,2.1512258183979696,2.13,81.73,82.65,70.13,27.810000000000002
45,10,2.2709394410340984,2.53,84.0,85.18,70.95,26.080000000000002
46,10,2.194571360878403,1.91,86.19,87.09,71.92,27.61
47,10,2.233327636421858,1.94,88.42,89.03,72.65,27.189999999999998
48,10,2.172184097144594,2.39,90.59,91.42,73.39,28.369999999999997
49,10,2.3005144934852115,2.49,92.89,93.91,74.3,26.580000000000002
50,10,2.3051932706027816,2.08,95.2,95.99,75.25,26.77
51,10,2.3552201464257285,2.26,97.56,98.25,76.03,26.2
52,10,2.3800634063293264,2.1,99.94,100.35,76.89,26.05
53,10,2.4024368445838182,2.47,102.34,102.82,77.68,25.92
54,10,2.361148517075387,2.32,104.7,105.14,78.6,26.8
55,10,2.313025095152538,2.55,107.01,107.69,79.47,27.75
56,10,2.4121008692145813,2.53,109.42,110.22,80.42,26.5
57,10,2.3324807101657963,2.62,111.75,112.84,81.36,27.919999999999998
58,10,2.3630957194382667,2.37,114.11,115.21,82.33,27.699999999999996
59,10,2.3250597823052477,2.5,116.44,117.71,83.2,28.46
60,10,2.3816122166493736,2.64,118.82,120.35,84.12,27.849999999999998
61,10,2.321126322019247,2.33,121.14,122.68,85.09,28.94
62,10,2.440658039160601,2.26,123.58,124.94,85.94,27.42
63,10,2.461001777703246,2.57,126.04,127.51,86.77,27.32
64,10,2.3983803922091607,2.69,128.44,130.2,87.7,28.41
65,10,2.434725114244565,2.31,130.87,132.51,88.67,28.110000000000003
66,10,2.4959710085470084,2.29,133.37,134.8,89.51,27.44
67,10,2.4202914150003507,2.45,135.79,137.25,90.33,28.660000000000004
68,10,2.5094587047548065,2.27,138.3,139.52,91.21,27.62
69,10,2.4697839512963107,2.64,140.77,142.16,92.02,28.330000000000005
70,10,2.5756748488867256,2.58,143.35,144.74,92.96,27.090000000000007
71,10,2.597490081787054,2.86,145.95,147.6,93.88,26.990000000000006
72,10,2.5531977865876203,2.78,148.5,150.38,94.89,27.790000000000003
73,10,2.615612340374615,2.36,151.12,152.74,95.87,27.16
74,10,2.6306431797910363,2.56,153.75,155.3,96.7,27.13
75,10,2.72832676108572,2.69,156.48,157.99,97.59,26.03
76,10,2.677857499688363,2.57,159.16,160.56,98.53,26.88
77,10,2.6156561942464833,2.91,161.78,163.47,99.43,27.86
78,10,2.6851888737520198,2.71,164.47,166.18,100.44,27.16
79,10,2.5812358889517792,2.75,167.05,168.93,101.37,28.660000000000004
80,10,2.6556292720869044,2.92,169.71,171.85,102.32,27.890000000000004
81,10,2.7736380693224056,2.64,172.48,174.49,103.32,26.590000000000003
82,10,2.7600441386649472,2.63,175.24,177.12,104.22,26.930000000000003
83,10,2.789557927608726,2.67,178.03,179.79,105.12,26.730000000000004
84,10,2.7251890367791014,2.9,180.76,182.69,106.02,27.69
85,10,2.794754062203672,2.55,183.55,185.24,107.0,27.01
86,10,2.7507602886699907,2.8,186.3,188.04,107.86,27.700000000000003
87,10,2.7435142889773334,3.04,189.04,191.08,108.8,27.950000000000003
88,10,2.806879860581426,2.61,191.85,193.69,109.82,27.360000000000003
89,10,2.862757617029778,2.62,194.71,196.31,110.69,26.84
90,10,2.8055541595707583,2.77,197.52,199.08,111.55,27.67
