floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,11,1.6738122209500002,1.97,1.67,1.97,36.13,18.79
1,11,1.70313353395,1.84,3.37,3.81,36.97,18.79
2,11,1.7288915954999995,1.61,5.1,5.42,37.75,18.92
3,11,1.75716545845,1.72,6.86,7.14,38.43,18.31
4,11,1.7770322127999998,1.59,8.64,8.73,39.16,18.880000000000003
5,11,1.8109764937,2.09,10.45,10.82,39.83,17.280000000000005
6,11,1.83033953905,1.61,12.28,12.43,40.71,18.71
7,11,1.8609870900499996,1.91,14.14,14.34,41.39,17.830000000000002
8,11,1.8634950188000003,1.58,16.0,15.92,42.19,19.740000000000002
9,11,1.8619718895000001,2.13,17.86,18.05,42.85,20.84
10,11,1.9095021507999999,2.02,19.77,20.07,43.74,19.840000000000003
11,11,1.9601961667,2.26,21.73,22.33,44.58,18.25
12,11,1.9744406852,2.09,23.7,24.42,45.52,19.230000000000004
13,11,2.01279337555,1.79,25.71,26.21,46.39,18.490000000000002
14,11,2.03152786195,2.2,27.74,28.41,47.13,18.71
15,11,2.0432664846999997,2.09,29.78,30.5,48.03,19.48
16,11,2.10153478505,2.34,31.88,32.84,48.89,17.529999999999998
17,11,2.0926949695,2.25,33.97,35.09,49.85,19.56
18,11,2.1279743557,2.27,36.1,37.36,50.77,19.119999999999997
19,11,2.1407284363,1.99,38.24,39.35,51.69,19.64
20,11,2.1042398919999994,2.39,40.34,41.74,52.5,21.560000000000002
21,11,2.1206235216999993,2.13,42.46,43.87,53.47,21.759999999999998
22,11,2.1218426092,2.26,44.58,46.13,54.33,22.26
23,11,2.1536401428,1.87,46.73,48.0,55.24,21.98
24,11,2.2229073407999995,2.38,48.95,50.38,55.99,20.54
25,11,2.2004693667999997,1.92,51.15,52.3,56.94,21.759999999999998
26,11,2.1480346070000005,2.36,53.3,54.66,57.7,23.339999999999996
27,11,2.153766074799999,2.08,55.45,56.74,58.64,23.609999999999996
28,11,2.1881559627,2.32,57.64,59.06,59.47,23.239999999999995
29,11,2.2565622973000004,2.24,59.9,61.3,60.39,22.159999999999997
30,11,2.2676763112000002,2.3,62.17,63.6,61.27,22.299999999999994
31,11,2.2931067567,2.0,64.46,65.6,62.18,22.129999999999995
32,11,2.3377088747999997,2.31,66.8,67.91,62.96,21.46999999999999
33,11,2.2791827663000004,2.53,69.08,70.44,63.86,23.049999999999994
34,11,2.3569738117499996,2.6,71.44,73.04,64.85,21.829999999999995
35,11,2.380793379299999,2.35,73.82,75.39,65.86,21.709999999999994
36,11,2.3786675376999993,2.21,76.2,77.6,66.77,22.079999999999995
37,11,2.38444915695,2.45,78.58,80.05,67.63,22.249999999999996
38,11,2.4566835421999995,2.19,81.04,82.24,68.57,21.099999999999994
39,11,2.3814327815499996,2.22,83.42,84.46,69.41,22.829999999999995
40,11,2.4243383488000005,2.28,85.84,86.74,70.26,22.279999999999994
41,11,2.3538800046999997,2.18,88.19,88.92,71.13,23.72
42,11,2.3783308748,2.34,90.57,91.26,71.96,23.5
43,11,2.4510412917499997,2.34,93.02,93.6,72.85,22.47
44,11,2.4008555761999997,2.59,95.42,96.19,73.73,23.499999999999996
45,11,2.457153020799999,2.36,97.88,98.55,74.71,22.779999999999998
46,11,2.3842769019999994,2.68,100.26,101.23,75.6,24.09
47,11,2.5005776119999994,2.51,102.76,103.74,76.6,22.44
48,11,2.4526299283,2.16,105.21,105.9,77.54,23.37
49,11,2.524729950299999,2.3,107.73,108.2,78.34,22.369999999999997
50,11,2.543949292,2.65,110.27,110.85,79.2,22.209999999999997
51,11,2.526310704699999,2.71,112.8,113.56,80.18,22.65
52,11,2.5476310986999993,2.62,115.35,116.18,81.18,22.47
53,11,2.5519675618000006,2.36,117.9,118.54,82.14,22.54
54,11,2.4835726119999997,2.32,120.38,120.86,83.0,23.64
55,11,2.6416443279999995,2.93,123.02,123.79,83.85,21.380000000000003
56,11,2.5488071511999997,2.66,125.57,126.45,84.92,22.92
57,11,2.5114921201999993,2.26,128.08,128.71,85.88,23.529999999999998
58,11,2.5808630619999993,2.53,130.66,131.24,86.7,22.639999999999997
59,11,2.610646553799999,2.89,133.27,134.13,87.61,22.299999999999997
60,11,2.5819849967999997,2.8,135.85,136.93,88.64,22.79
61,11,2.6594450479999994,2.74,138.51,139.67,89.65,21.78
62,11,2.7378978682,2.79,141.25,142.46,90.62,20.699999999999996
63,11,2.7506322363,2.96,144.0,145.42,91.61,20.599999999999998
64,11,2.760051619299999,3.05,146.76,148.47,92.66,20.55
65,11,2.7084989478000003,2.77,149.47,151.24,93.74,21.38
66,11,2.7498774185499992,3.02,152.22,154.26,94.71,20.85
67,11,2.6256087687999994,2.48,154.85,156.74,95.76,22.580000000000002
68,11,2.6770083022000004,2.45,157.53,159.19,96.63,21.94
69,11,2.594809951199999,2.68,160.12,161.87,97.48,23.0
70,11,2.6905330560499996,2.97,162.81,164.84,98.41,21.810000000000002
71,11,2.87010917345,2.58,165.68,167.42,99.43,19.35
72,11,2.9457642712000003,3.21,168.63,170.63,100.32,18.229999999999997
73,11,2.8709596562,2.98,171.5,173.61,101.42,19.419999999999998
74,11,2.9657064954499996,3.04,174.47,176.65,102.43,18.03
75,11,2.870364756699998,3.04,177.34,179.69,103.47,19.48
76,11,2.7970963752999984,3.01,180.14,182.7,104.49,20.480000000000004
77,11,2.8556873877999993,3.07,183.0,185.77,105.51,19.700000000000003
78,11,2.8747475228,2.96,185.87,188.73,106.54,19.44
79,11,2.9080596072,3.2,188.78,191.93,107.53,18.98
80,11,3.0037134665499985,2.96,191.78,194.89,108.59,17.61
81,11,2.8800641236999986,2.6,194.66,197.49,109.58,19.33
82,11,2.9080089987999993,2.64,197.57,200.13,110.44,18.939999999999998
83,11,2.874156561999999,2.78,200.44,202.91,111.3,19.36
84,11,2.9094892146999993,2.67,203.35,205.58,112.22,18.87
85,11,2.9070864965499985,2.61,206.26,208.19,113.09,18.87
86,11,2.9449333137999987,2.98,209.2,211.17,113.94,18.34
87,11,2.822460235299998,3.0,212.02,214.17,114.91,19.84
88,11,2.8392796451999986,2.76,214.86,216.93,115.88,19.58
89,11,2.871760026449999,2.59,217.73,219.52,116.77,19.13
90,11,2.953550379999997,2.85,220.68,222.37,117.6,18.05
