floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,12,1.5954252135982154,1.61,1.6,1.61,36.63,18.79
1,12,1.6131065992084368,1.68,3.21,3.29,37.22,18.79
2,12,1.6312810672699016,1.8,4.84,5.09,37.83,18.93
3,12,1.6504351757094824,1.77,6.49,6.86,38.48,19.64
4,12,1.6693683695904369,1.82,8.16,8.68,39.12,19.39
5,12,1.688932184329972,1.8,9.85,10.48,39.78,17.41
6,12,1.7078456256949008,1.49,11.56,11.97,40.43,18.6
7,12,1.7234601132127079,1.82,13.28,13.79,40.97,19.140000000000004
8,12,1.742357810392396,1.72,15.02,15.51,41.62,18.610000000000003
9,12,1.7592619149888657,1.93,16.78,17.44,42.24,20.67
10,12,1.7800484825442386,1.5,18.56,18.94,42.93,18.200000000000003
11,12,1.794983307083854,1.88,20.35,20.82,43.46,19.230000000000004
12,12,1.8127130519471062,1.63,22.16,22.45,44.13,20.85
13,12,1.8273358334008432,1.65,23.99,24.1,44.71,21.55
14,12,1.8465202067159647,2.14,25.84,26.24,45.3,20.09
15,12,1.8671086538389796,1.94,27.71,28.18,46.06,20.630000000000003
16,12,1.8860476207287369,1.86,29.6,30.04,46.74,20.59
17,12,1.9037174204856462,2.05,31.5,32.09,47.4,20.869999999999997
18,12,1.922271370245005,1.67,33.42,33.76,48.12,21.269999999999996
19,12,1.9357887766585917,2.07,35.36,35.83,48.71,21.79
20,12,1.9562205121210372,2.13,37.32,37.96,49.43,21.599999999999994
21,12,1.9791322196025782,1.96,39.3,39.92,50.18,20.959999999999997
22,12,1.9653048616606457,2.0,41.27,41.92,50.86,23.6
23,12,2.0042217799408806,1.81,43.27,43.73,51.56,22.49
24,12,2.016746633376153,1.98,45.29,45.71,52.18,22.71
25,12,2.009988103598707,2.1,47.3,47.81,52.87,23.740000000000002
26,12,2.0507646205768055,2.15,49.35,49.96,53.6,22.799999999999997
27,12,2.0717802807804966,1.86,51.42,51.82,54.34,22.659999999999997
28,12,2.0593175128455212,1.78,53.48,53.6,54.98,23.75
29,12,2.1016497299293806,2.23,55.58,55.83,55.59,22.71
30,12,2.1307193725149425,2.21,57.71,58.04,56.35,22.12
31,12,2.119137573051268,1.98,59.83,60.02,57.11,23.43
32,12,2.1647434724260886,2.26,61.99,62.28,57.78,22.21
33,12,2.193607217908711,2.13,64.18,64.41,58.55,21.49
34,12,2.218745320316181,2.43,66.4,66.84,59.27,20.549999999999997
35,12,2.227948711607605,2.02,68.63,68.86,60.09,21.799999999999994
36,12,2.22520745351761,2.28,70.86,71.14,60.78,22.729999999999997
37,12,2.249250689629661,2.27,73.11,73.41,61.54,22.49
38,12,2.2906127653415918,2.07,75.4,75.48,62.31,21.15
39,12,2.3083137736169705,2.16,77.71,77.64,63.0,21.08
40,12,2.334804848356425,2.45,80.04,80.09,63.72,19.619999999999997
41,12,2.3574689450426374,2.53,82.4,82.62,64.54,18.47
42,12,2.3780895801770296,2.12,84.78,84.74,65.38,18.82
43,12,2.3964645700189062,2.62,87.18,87.36,66.08,17.990000000000002
44,12,2.4180964119060957,2.21,89.6,89.57,66.94,17.689999999999998
45,12,2.435801562224465,2.66,92.04,92.23,67.67,18.240000000000002
46,12,2.457868636980439,2.73,94.5,94.96,68.55,17.900000000000006
47,12,2.4787733698876795,2.5,96.98,97.46,69.44,18.71
48,12,2.500236528874883,2.8,99.48,100.26,70.26,17.459999999999997
49,12,2.522398085757168,2.74,102.0,103.0,71.17,17.62
50,12,2.5432746684184355,2.41,104.54,105.41,72.06,18.349999999999998
51,12,2.5608944699107616,2.43,107.1,107.84,72.84,18.93
52,12,2.5820420500944805,2.83,109.68,110.67,73.62,17.41
53,12,2.600623820200436,2.33,112.28,113.0,74.53,19.16
54,12,2.6220046918938373,2.9,114.9,115.9,75.28,17.41
55,12,2.639450154874925,2.58,117.54,118.48,76.21,19.38
56,12,2.663052140600187,2.44,120.2,120.92,77.03,18.060000000000002
57,12,2.679080580993709,2.78,122.88,123.7,77.8,18.910000000000004
58,12,2.695281504052781,2.96,125.58,126.66,78.69,19.700000000000003
59,12,2.720215761727072,2.87,128.3,129.53,79.62,19.220000000000002
60,12,2.745274080988014,2.93,131.05,132.46,80.52,18.11
61,12,2.765513465753383,2.49,133.82,134.95,81.44,18.559999999999995
62,12,2.782073616497502,2.89,136.6,137.84,82.22,18.919999999999995
63,12,2.805842722797499,2.85,139.41,140.69,83.12,18.099999999999998
64,12,2.826643729341174,2.74,142.24,143.43,84.01,18.009999999999998
65,12,2.844005888975741,2.83,145.08,146.26,84.86,18.659999999999997
66,12,2.861117607221606,2.66,147.94,148.92,85.73,19.12
67,12,2.8584552568945805,2.7,150.8,151.62,86.55,20.560000000000002
68,12,2.8737606585121394,3.02,153.67,154.64,87.38,20.66
69,12,2.918218021136662,2.63,156.59,157.27,88.3,19.21
70,12,2.9146437343739966,2.96,159.5,160.23,89.1,20.500000000000004
71,12,2.957205732507559,3.01,162.46,163.24,90.0,19.09
72,12,2.963314213411952,3.12,165.42,166.36,90.92,20.08
73,12,2.94061209887711,3.07,168.36,169.43,91.86,21.39
74,12,2.9629705040718064,2.75,171.32,172.18,92.78,21.299999999999997
75,12,3.0325907681391473,2.95,174.35,175.13,93.6,19.419999999999998
76,12,3.0517205457797387,2.84,177.4,177.97,94.49,19.43
77,12,3.0587052440447517,2.97,180.46,180.94,95.33,20.009999999999998
78,12,3.055109969484208,2.87,183.52,183.81,96.21,20.729999999999997
79,12,3.1086507958502665,3.41,186.63,187.22,97.06,19.319999999999993
80,12,3.126649222241193,3.05,189.76,190.27,98.07,19.529999999999998
81,12,3.1564143865101713,3.14,192.92,193.41,98.96,18.769999999999996
82,12,3.145579294152783,2.93,196.07,196.34,99.88,20.269999999999996
83,12,3.1570303897605467,3.11,199.23,199.45,100.74,20.439999999999998
84,12,3.144310071599782,3.13,202.37,202.58,101.64,21.13
85,12,3.1498298371105773,3.3,205.52,205.88,102.55,21.349999999999998
86,12,3.2165442275134937,3.01,208.74,208.89,103.5,20.319999999999997
87,12,3.2133461222445194,3.39,211.95,212.28,104.36,20.789999999999996
88,12,3.0771875859088813,2.99,215.03,215.27,105.33,23.15
89,12,3.1130676550806893,2.93,218.14,218.2,106.19,22.869999999999997
90,12,3.233562773987357,3.2,221.37,221.4,107.02,21.339999999999996
