floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,3,1.7348474105499994,1.85,1.73,1.85,37.89,18.79
1,3,1.7597141706999997,1.95,3.49,3.8,38.62,18.79
2,3,1.7921999412999998,1.62,5.28,5.42,39.39,18.0
3,3,1.8163496841999995,1.89,7.1,7.31,40.03,17.62
4,3,1.8366961619499997,1.95,8.94,9.26,40.77,18.270000000000003
5,3,1.8424261676999991,2.0,10.78,11.26,41.53,19.76
6,3,1.8721525512,2.11,12.65,13.37,42.32,19.460000000000004
7,3,1.8814720017999997,1.8,14.53,15.17,43.14,20.34
8,3,1.8806167167999999,1.63,16.41,16.8,43.84,21.28
9,3,1.9297981379499995,1.7,18.34,18.5,44.47,19.93
10,3,1.9395731059499997,2.04,20.28,20.54,45.13,20.39
11,3,1.9686227712,2.25,22.25,22.79,45.92,20.119999999999997
12,3,1.9878842045499994,2.21,24.24,25.0,46.79,20.369999999999997
13,3,2.0000049838,1.95,26.24,26.95,47.64,20.830000000000002
14,3,2.0238201082000002,2.26,28.26,29.21,48.38,20.700000000000003
15,3,2.0555195124999996,2.34,30.32,31.55,49.25,20.4
16,3,2.072589781299999,2.36,32.39,33.91,50.14,20.650000000000002
17,3,2.0420671647999997,2.31,34.43,36.22,51.04,22.299999999999997
18,3,2.0963941972999995,2.18,36.53,38.4,51.91,21.36
19,3,2.0699104107999995,1.98,38.6,40.38,52.74,22.639999999999997
20,3,2.0783566137999996,2.3,40.68,42.68,53.49,22.86
21,3,2.0845543767499994,2.21,42.76,44.89,54.35,23.169999999999998
22,3,2.1729651967000003,2.32,44.93,47.21,55.18,21.43
23,3,2.1519588717500007,2.12,47.08,49.33,56.05,22.470000000000002
24,3,2.1922942177999993,2.19,49.27,51.52,56.84,21.91
25,3,2.2230451003,2.11,51.49,53.63,57.66,21.59
26,3,2.2315071207999986,1.99,53.72,55.62,58.44,21.800000000000004
27,3,2.2682410292,2.54,55.99,58.16,59.18,21.280000000000005
28,3,2.2955472335499993,2.23,58.29,60.39,60.11,21.090000000000003
29,3,2.2071579861999986,2.34,60.5,62.73,60.93,23.42
30,3,2.225608404549999,2.19,62.73,64.92,61.79,23.37
31,3,2.2536162769999994,2.07,64.98,66.99,62.6,23.11
32,3,2.3350296049999995,2.3,67.32,69.29,63.35,21.7
33,3,2.291661244299999,2.05,69.61,71.34,64.19,22.92
34,3,2.33632708745,2.48,71.95,73.82,64.93,22.29
35,3,2.3239452006999994,2.49,74.27,76.31,65.83,22.84
36,3,2.414486432699999,2.14,76.68,78.45,66.73,21.32
37,3,2.3771633874999996,2.25,79.06,80.7,67.5,22.35
38,3,2.419922829550001,2.33,81.48,83.03,68.31,21.77
39,3,2.49813404575,2.24,83.98,85.27,69.15,20.409999999999997
40,3,2.3983907242499996,2.45,86.38,87.72,69.95,22.67
41,3,2.4696551461999996,2.32,88.85,90.04,70.82,21.580000000000002
42,3,2.523198464799999,2.35,91.37,92.39,71.64,20.76
43,3,2.5351579692000006,2.51,93.91,94.9,72.47,20.78
44,3,2.5580203348,2.38,96.47,97.28,73.36,20.589999999999996
45,3,2.504833232,2.22,98.97,99.5,74.2,21.84
46,3,2.6040530902,2.84,101.57,102.34,74.98,20.14
47,3,2.6849882214500003,2.41,104.25,104.75,75.97,18.69
48,3,2.673295054299999,2.7,106.92,107.45,76.81,19.24
49,3,2.619009637499999,2.73,109.54,110.18,77.75,20.599999999999998
50,3,2.7362188324999996,2.73,112.28,112.91,78.7,18.449999999999996
51,3,2.6315227088000004,2.47,114.91,115.38,79.64,20.799999999999997
52,3,2.6357223928000004,2.5,117.55,117.88,80.49,20.9
53,3,2.592824682999999,2.51,120.14,120.39,81.35,21.78
54,3,2.61675575205,2.74,122.76,123.13,82.21,21.53
55,3,2.666875106299999,2.76,125.43,125.89,83.14,20.849999999999998
56,3,2.5278716212,2.82,127.96,128.71,84.08,23.13
57,3,2.606964524799999,2.36,130.57,131.07,85.04,22.080000000000002
58,3,2.6105090127999993,2.46,133.18,133.53,85.84,22.119999999999997
59,3,2.6694184368,2.46,135.85,135.99,86.66,21.32
60,3,2.561548482799999,2.32,138.41,138.31,87.49,22.98
61,3,2.7137431682,2.92,141.12,141.23,88.27,20.82
62,3,2.5874316887999993,2.35,143.71,143.58,89.24,22.76
63,3,2.7281036436999995,2.56,146.44,146.14,90.02,20.790000000000003
64,3,2.6364921607,2.72,149.08,148.86,90.87,22.2
65,3,2.6595883612,2.52,151.74,151.38,91.77,21.94
66,3,2.7150761169999997,2.42,154.46,153.8,92.6,21.21
67,3,2.774036479999999,2.61,157.23,156.41,93.4,20.4
68,3,2.6773083445,2.41,159.91,158.82,94.25,21.84
69,3,2.626196324799998,2.49,162.54,161.31,95.04,22.55
70,3,2.5739370917499995,2.33,165.11,163.64,95.85,23.23
71,3,2.613036174299999,2.45,167.72,166.09,96.61,22.76
72,3,2.7150361219999994,2.94,170.44,169.03,97.4,21.46
73,3,2.714862010749999,2.95,173.15,171.98,98.35,21.490000000000002
74,3,2.5748456575,2.83,175.72,174.81,99.3,23.249999999999996
75,3,2.5948807869999997,2.81,178.31,177.62,100.2,23.009999999999998
76,3,2.712852831999999,2.56,181.02,180.18,101.1,21.559999999999995
77,3,2.7544192232,2.49,183.77,182.67,101.92,21.029999999999994
78,3,2.7792808590500004,2.6,186.55,185.27,102.71,20.709999999999997
79,3,2.8964376539499983,2.63,189.45,187.9,103.53,19.11
80,3,2.990677048799999,2.82,192.44,190.72,104.36,17.720000000000002
81,3,2.8847639427999994,2.78,195.32,193.5,105.24,19.3
82,3,2.807803668549999,2.81,198.13,196.31,106.11,20.33
83,3,2.9751431237999992,2.89,201.11,199.2,106.99,18.02
84,3,2.7920316688,2.89,203.9,202.09,107.89,20.5
85,3,2.9427653016999997,2.86,206.84,204.95,108.78,18.49
86,3,2.773195450699998,2.82,209.61,207.77,109.67,20.68
87,3,2.8265920703000003,2.61,212.44,210.38,110.54,19.99
88,3,2.7525008578000003,2.75,215.19,213.13,111.34,20.86
89,3,2.7464852886999997,2.69,217.94,215.82,112.18,20.889999999999997
90,3,2.652567256999999,2.46,220.59,218.28,113.0,21.909999999999997
