floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,2,1.8550424280000002,2.0,1.86,2.0,43.0,21.32
1,2,1.8790144391999999,1.67,3.74,3.67,43.82,21.32
2,2,1.9035432054999997,1.72,5.64,5.39,44.5,21.13
3,2,1.9424505637999998,1.73,7.58,7.12,45.19,20.34
4,2,1.9690627997999999,2.1,9.55,9.22,45.89,20.060000000000002
5,2,1.9683299127999991,2.15,11.52,11.37,46.74,21.080000000000002
6,2,1.97505401755,1.98,13.5,13.35,47.61,21.669999999999998
7,2,2.0309723997999996,1.79,15.53,15.14,48.41,20.459999999999997
8,2,2.0222629631999998,1.92,17.55,17.06,49.12,21.439999999999998
9,2,2.00222908105,1.89,19.55,18.95,49.89,22.610000000000003
10,2,2.059983704999999,1.88,21.61,20.83,50.65,21.5
11,2,2.1111097219999997,1.93,23.72,22.76,51.4,20.46
12,2,2.0023717568,1.74,25.72,24.5,52.16,23.919999999999998
13,2,2.1250484924999995,2.39,27.85,26.89,52.85,21.2
14,2,2.149630131999999,2.18,30.0,29.07,53.8,21.16
15,2,2.1449125497999995,2.04,32.14,31.11,54.66,21.86
16,2,2.1025650552999995,2.16,34.24,33.27,55.46,23.31
17,2,2.23014004705,2.43,36.47,35.7,56.31,20.549999999999997
18,2,2.2242052212999988,2.4,38.69,38.1,57.26,21.33
19,2,2.1920688683000003,2.33,40.88,40.43,58.19,22.599999999999994
20,2,2.2417456945000005,2.2,43.12,42.63,59.1,21.889999999999993
21,2,2.2897944762499995,2.3,45.41,44.93,59.95,21.149999999999995
22,2,2.2673405127999997,2.54,47.68,47.47,60.84,22.12
23,2,2.3596416311999993,2.49,50.04,49.96,61.82,20.36
24,2,2.2802881691999994,2.12,52.32,52.08,62.78,22.64
25,2,2.3318366540499995,2.6,54.65,54.68,63.59,21.87
26,2,2.3977062692,2.16,57.05,56.84,64.58,20.8
27,2,2.3815619292999997,2.4,59.43,59.24,65.41,21.520000000000003
28,2,2.371457389199999,2.41,61.8,61.65,66.32,22.070000000000007
29,2,2.312807486199999,2.37,64.11,64.02,67.23,23.460000000000004
30,2,2.3872389981999995,2.48,66.5,66.5,68.12,22.350000000000005
31,2,2.2924280938,2.41,68.79,68.91,69.06,24.259999999999998
32,2,2.1272807397999993,2.36,70.92,71.27,69.96,26.85
33,2,2.2316248219999997,2.47,73.15,73.74,70.85,25.54
34,2,2.1435665774499992,2.24,75.29,75.98,71.77,26.89
35,2,2.1792811329999986,2.36,77.47,78.34,72.6,26.53
36,2,2.1223309709499993,2.36,79.59,80.7,73.47,27.369999999999997
37,2,2.1388489619999995,2.33,81.73,83.03,74.35,27.26
38,2,2.09744986105,2.16,83.83,85.19,75.21,27.85
39,2,2.1966186519999997,2.46,86.03,87.65,76.0,26.71
40,2,2.182082112999999,1.9,88.21,89.55,76.9,26.98
41,2,2.210831411999999,2.22,90.42,91.77,77.6,26.69
42,2,2.1662881767999997,2.38,92.59,94.15,78.41,27.299999999999997
43,2,2.1793567539499996,2.33,94.77,96.48,79.27,27.209999999999997
44,2,2.1638634081999992,1.99,96.93,98.47,80.12,27.45
45,2,2.1414444418,2.43,99.07,100.9,80.84,27.75
46,2,2.1886837427999994,2.46,101.26,103.36,81.71,27.26
47,2,2.0628199869999992,1.82,103.32,105.18,82.6,28.69
48,2,2.2589615042499998,2.21,105.58,107.39,83.25,26.53
49,2,2.1308497758,2.32,107.71,109.71,84.04,28.01
50,2,2.0899325414499996,1.9,109.8,111.61,84.87,28.47
51,2,2.235376043299999,2.48,112.04,114.09,85.54,26.91
52,2,2.1349963757,2.24,114.17,116.33,86.42,28.029999999999998
53,2,2.1382746290499997,1.85,116.31,118.18,87.21,28.009999999999998
54,2,2.1563803484499995,2.36,118.47,120.54,87.87,27.83
55,2,2.2121693825000004,2.23,120.68,122.77,88.7,27.249999999999996
56,2,2.3056747152,2.29,122.99,125.06,89.48,26.239999999999995
57,2,2.2744558152,2.56,125.26,127.62,90.28,26.6
58,2,2.3594157449499993,2.5,127.62,130.12,91.17,25.67
59,2,2.3401366948,2.5,129.96,132.62,92.04,25.9
60,2,2.3998254702999997,2.32,132.36,134.94,92.91,25.240000000000002
61,2,2.4182744132999985,2.31,134.78,137.25,93.71,25.040000000000003
62,2,2.3504938,2.15,137.13,139.4,94.5,25.799999999999997
63,2,2.3914651378,2.46,139.52,141.86,95.24,25.349999999999998
64,2,2.447811205299999,2.49,141.97,144.35,96.09,24.72
65,2,2.1997709932999996,2.03,144.17,146.38,96.94,27.33
66,2,2.25004429695,2.37,146.42,148.75,97.63,26.81
67,2,2.2568578537,2.26,148.68,151.01,98.43,26.72
68,2,2.269522488,1.97,150.95,152.98,99.2,26.569999999999997
69,2,2.3575849362999994,2.24,153.31,155.22,99.86,25.65
70,2,2.363211987699999,2.46,155.67,157.68,100.62,25.57
71,2,2.3155961808,2.29,157.99,159.97,101.44,26.029999999999998
72,2,2.2652079148,2.39,160.26,162.36,102.21,26.5
73,2,2.162947701299999,2.19,162.42,164.55,103.01,27.44
74,2,2.3518743912999995,2.27,164.77,166.82,103.74,25.57
75,2,2.325368650299999,2.05,167.1,168.87,104.49,25.799999999999997
76,2,2.3670408629499997,2.38,169.47,171.25,105.17,25.349999999999998
