floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight
0,19,1.7509123199999994,1.53,1.75,1.53,38.8
1,19,1.7714170496999995,1.85,3.52,3.38,39.43
2,19,1.8082421638,1.7,5.33,5.08,40.19
3,19,1.7993783788000006,1.72,7.13,6.8,40.89
4,19,1.8431314799999998,1.8,8.97,8.6,41.6
5,19,1.8531673807,2.14,10.82,10.74,42.33
6,19,1.9059214582999995,1.94,12.73,12.68,43.21
7,19,1.9341416319999998,1.69,14.66,14.37,44.0
8,19,1.9321872312000001,1.88,16.59,16.25,44.68
9,19,1.9515391567999991,1.88,18.54,18.13,45.44
10,19,1.9540408449999997,1.96,20.49,20.09,46.2
11,19,1.9871266840500006,2.08,22.48,22.17,46.99
12,19,2.0108072931999996,1.97,24.49,24.14,47.83
13,19,2.0362235171999994,2.29,26.53,26.43,48.62
14,19,2.0403519682999995,2.2,28.57,28.63,49.54
15,19,2.1023407906999996,2.21,30.67,30.84,50.42
16,19,2.11737563605,2.11,32.79,32.95,51.29
17,19,2.1561780934499994,1.92,34.95,34.87,52.13
18,19,2.16013937305,1.99,37.11,36.86,52.89
19,19,2.1473918712,2.11,39.26,38.97,53.68
20,19,2.1525414582999995,2.34,41.41,41.31,54.51
21,19,2.20194032495,2.4,43.61,43.71,55.43
22,19,2.219922124449999,1.98,45.83,45.69,56.37
23,19,2.2522373273,2.18,48.08,47.87,57.14
24,19,2.317068338799998,2.29,50.4,50.16,57.99
25,19,2.2740296831999998,2.01,52.67,52.17,58.88
26,19,2.3371965492999998,2.62,55.01,54.79,59.66
27,19,2.3876352907,2.12,57.4,56.91,60.67
28,19,2.3167516202,2.29,59.72,59.2,61.48
29,19,2.4227401068,2.2,62.14,61.4,62.36
30,19,2.429348208,2.19,64.57,63.59,63.2
31,19,2.3818089197999996,2.45,66.95,66.04,64.04
32,19,2.4444714821999995,2.59,69.39,68.63,64.97
33,19,2.4973490977999995,2.66,71.89,71.29,65.96
34,19,2.4547171827999996,2.64,74.34,73.93,66.96
35,19,2.536170885799999,2.36,76.88,76.29,67.96
36,19,2.541536561799999,2.66,79.42,78.95,68.84
37,19,2.511327416800001,2.8,81.93,81.75,69.84
38,19,2.5722393952,2.28,84.5,84.03,70.88
39,19,2.6265426681999995,2.51,87.13,86.54,71.73
40,19,2.6527615167999996,2.73,89.78,89.27,72.66
41,19,2.539549747949999,2.41,92.32,91.68,73.67
42,19,2.6382897487999983,2.92,94.96,94.6,74.56
43,19,2.6149723094499997,2.38,97.57,96.98,75.63
44,19,2.607119684499999,2.77,100.18,99.75,76.5
45,19,2.6962539132999996,2.58,102.88,102.33,77.51
46,19,2.5790103054999998,2.41,105.46,104.74,78.45
47,19,2.7104716817,2.92,108.17,107.66,79.33
48,19,2.694084723199999,2.68,110.86,110.34,80.38
49,19,2.7641946842499987,2.97,113.62,113.31,81.35
50,19,2.7529529390499996,2.58,116.37,115.89,82.41
51,19,2.793685017449999,3.05,119.16,118.94,83.33
52,19,2.825478254199999,3.0,121.99,121.94,84.42
53,19,2.7550965352,2.53,124.75,124.47,85.48
54,19,2.7523650572,2.81,127.5,127.28,86.38
55,19,2.7086481519499994,2.49,130.21,129.77,87.37
56,19,2.8274362307999996,2.83,133.04,132.6,88.24
57,19,2.768913149949999,2.48,135.81,135.08,89.23
58,19,2.819212627999999,2.56,138.63,137.64,90.1
59,19,2.7564563015499988,2.87,141.39,140.51,90.99
60,19,2.7685056712000002,2.85,144.16,143.36,91.98
61,19,2.7957082229499997,2.85,146.96,146.21,92.97
62,19,2.7634909574999993,2.54,149.72,148.75,93.95
63,19,2.7682653496999996,3.05,152.49,151.8,94.82
64,19,2.8868865847999987,2.78,155.38,154.58,95.86
65,19,2.72750508955,2.95,158.11,157.53,96.81
66,19,2.8770337595499997,2.92,160.99,160.45,97.81
67,19,2.7619129970499996,2.92,163.75,163.37,98.79
68,19,2.7902998776999994,2.9,166.54,166.27,99.78
69,19,2.8527821319999997,2.9,169.39,169.17,100.75
70,19,2.9456361542000002,3.13,172.34,172.3,101.72
71,19,2.864429857799998,2.66,175.2,174.96,102.76
72,19,2.8598325038,3.08,178.06,178.04,103.64
73,19,2.7533945227999994,2.63,180.81,180.67,104.66
74,19,2.9301013551999997,3.22,183.74,183.89,105.53
75,19,2.9447583541999998,2.98,186.68,186.87,106.58
76,19,2.8029086557999983,3.02,189.48,189.89,107.56
77,19,2.8747569657999987,3.04,192.35,192.93,108.54
78,19,2.8602724079499997,2.7,195.21,195.63,109.53
79,19,2.875469727999999,3.06,198.09,198.69,110.4
80,19,2.686813252199998,2.65,200.78,201.34,111.38
81,19,2.7359868149499973,3.0,203.52,204.34,112.23
82,19,2.7314553605499987,2.44,206.25,206.78,113.19
83,19,2.99574348145,3.0,209.25,209.78,113.97
84,19,2.707050893199999,2.89,211.96,212.67,114.92
85,19,2.8501889967999983,3.1,214.81,215.77,115.84
86,19,2.7047920117000004,2.55,217.51,218.32,116.82
87,19,2.739714990199999,2.86,220.25,221.18,117.62
88,19,2.781317521299998,2.49,223.03,223.67,118.51
89,19,2.7767857695499996,3.04,225.81,226.71,119.29
90,19,2.7402948036999986,2.96,228.55,229.67,120.23
