floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,17,1.8550424280000002,1.98,1.86,1.98,43.0,21.32
1,17,1.8795949727999997,1.73,3.74,3.71,43.84,21.32
2,17,1.8751632988000004,1.87,5.62,5.58,44.56,22.209999999999997
3,17,1.9139819195,1.92,7.53,7.5,45.35,21.639999999999997
4,17,1.8570410569999996,2.08,9.39,9.58,46.15,23.939999999999998
5,17,1.9542558926999993,1.94,11.34,11.52,47.02,21.83
6,17,1.9269217707,2.03,13.27,13.55,47.83,23.24
7,17,1.992486562199999,1.79,15.26,15.34,48.68,22.009999999999998
8,17,2.0166185381999995,1.88,17.28,17.22,49.42,21.86
9,17,2.0076710429999993,2.3,19.29,19.52,50.2,22.67
10,17,2.056278838,2.32,21.35,21.84,51.15,21.979999999999997
11,17,2.0488939845,1.81,23.4,23.65,52.1,22.79
12,17,2.0415681867999997,1.94,25.44,25.59,52.84,23.379999999999995
13,17,2.103136223799999,2.16,27.54,27.75,53.64,22.33
14,17,2.1234216802,2.07,29.66,29.82,54.52,22.33
15,17,2.0701318368000003,2.08,31.73,31.9,55.36,23.96
16,17,2.1906968545500005,2.16,33.92,34.06,56.21,21.59
17,17,2.2007834862000006,2.06,36.12,36.12,57.08,21.83
18,17,2.2022624490499987,2.43,38.32,38.55,57.91,22.23
19,17,2.1621266068,2.45,40.48,41.0,58.89,23.54
20,17,2.2491138669499997,2.31,42.73,43.31,59.87,22.090000000000003
21,17,2.2269959279999996,2.09,44.96,45.4,60.8,22.97
22,17,2.2958650864499996,2.28,47.26,47.68,61.63,21.830000000000002
23,17,2.3337968032999994,2.48,49.59,50.16,62.54,21.37
24,17,2.2700949352,2.3,51.86,52.46,63.52,23.11
25,17,2.285983148449999,2.47,54.15,54.93,64.43,23.11
26,17,2.2719306429999993,2.08,56.42,57.01,65.4,23.67
27,17,2.3440190142,2.42,58.76,59.43,66.22,22.58
28,17,2.3854313856999996,2.28,61.15,61.71,67.17,22.08
29,17,2.4001973667999987,2.64,63.55,64.35,68.06,22.08
30,17,2.320206659049999,2.31,65.87,66.66,69.09,23.810000000000002
31,17,2.4559909827000004,2.21,68.33,68.87,69.98,21.59
32,17,2.2224656477999996,2.48,70.55,71.35,70.84,25.67
33,17,2.2489702450000006,2.36,72.8,73.71,71.8,25.45
34,17,2.2086273075,2.02,75.01,75.73,72.7,26.149999999999995
35,17,2.1849393102,2.05,77.19,77.78,73.48,26.57
36,17,2.1460686807999996,1.92,79.34,79.7,74.26,27.16
37,17,2.0611306438,2.36,81.4,82.06,74.99,28.26
38,17,2.2207967305500005,2.49,83.62,84.55,75.89,26.39
39,17,2.188918259799999,1.94,85.81,86.49,76.84,26.89
40,17,2.1730646759499996,2.14,87.98,88.63,77.57,27.15
41,17,2.1000012446999996,1.95,90.08,90.58,78.38,28.07
42,17,2.123456367549999,1.95,92.2,92.53,79.11,27.85
43,17,2.2509657048,2.55,94.45,95.08,79.84,26.39
44,17,2.1623099719999996,2.31,96.61,97.39,80.8,27.509999999999998
45,17,2.3079739603,2.44,98.92,99.83,81.66,25.83
46,17,2.2495818208,2.05,101.17,101.88,82.56,26.599999999999998
47,17,2.133054471199999,1.91,103.3,103.79,83.32,27.96
48,17,2.314001721699999,2.07,105.61,105.86,84.03,25.919999999999998
49,17,2.2667097982999995,2.14,107.88,108.0,84.79,26.52
50,17,2.411134158199999,2.5,110.29,110.5,85.58,24.82
51,17,2.2437596374999993,2.43,112.53,112.93,86.5,26.85
52,17,2.2235142387999995,2.48,114.75,115.41,87.39,27.1
53,17,2.2482610310499993,2.05,117.0,117.46,88.29,26.85
