floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,9,1.6526476130184093,1.62,1.65,1.62,38.55,18.79
1,9,1.672699301764733,1.97,3.32,3.59,39.23,18.79
2,9,1.6974015978203791,1.67,5.02,5.26,40.07,17.8
3,9,1.7178139879959846,1.54,6.74,6.8,40.77,17.57
4,9,1.7363181354292498,1.94,8.48,8.74,41.41,18.36
5,9,1.7598266077451221,1.72,10.24,10.46,42.23,19.16
6,9,1.7803270951914383,1.89,12.02,12.35,42.94,18.270000000000003
7,9,1.8027847114651008,2.0,13.82,14.35,43.73,18.73
8,9,1.8264160684603257,2.08,15.65,16.43,44.56,18.01
9,9,1.850811598841098,1.81,17.5,18.24,45.43,18.77
10,9,1.8717031308662893,2.07,19.37,20.31,46.17,17.81
11,9,1.895531762455064,1.69,21.27,22.0,47.03,18.679999999999996
12,9,1.914432967015082,2.08,23.18,24.08,47.72,19.28
13,9,1.9384335240063004,1.87,25.12,25.95,48.58,18.490000000000002
14,9,1.9594480123125848,1.73,27.08,27.68,49.34,17.62
15,9,1.9786834900411563,1.95,29.06,29.63,50.05,18.490000000000002
16,9,1.9995701156660004,2.13,31.06,31.76,50.84,19.55
17,9,2.0235381895537863,2.32,33.08,34.08,51.71,18.860000000000003
18,9,2.048207566366418,2.17,35.13,36.25,52.65,19.610000000000003
19,9,2.068551539512869,2.04,37.2,38.29,53.53,20.900000000000002
20,9,2.0914874530362018,2.02,39.29,40.31,54.35,20.53
21,9,2.1129651303980337,2.33,41.4,42.64,55.16,20.460000000000004
22,9,2.135458422712381,1.87,43.54,44.51,56.09,20.880000000000003
23,9,2.159042877910415,1.97,45.7,46.48,56.84,19.5
24,9,2.1791032591700796,2.14,47.88,48.62,57.63,19.780000000000005
25,9,2.2031340697672617,2.35,50.08,50.97,58.48,17.480000000000008
26,9,2.2265677881926274,2.33,52.31,53.3,59.41,18.78000000000001
27,9,2.2496062043939578,2.15,54.56,55.45,60.33,19.279999999999998
28,9,2.272596771738749,2.42,56.83,57.87,61.18,17.96
29,9,2.296946857566509,2.55,59.13,60.42,62.13,17.759999999999998
30,9,2.322339980641243,2.29,61.45,62.71,63.13,17.81
31,9,2.344997743407687,2.06,63.79,64.77,64.02,17.470000000000002
32,9,2.3642741271747942,2.26,66.15,67.03,64.82,18.67
33,9,2.38461909156301,2.52,68.53,69.55,65.7,19.49
34,9,2.4111576875528504,2.47,70.94,72.02,66.67,18.02
35,9,2.43505909288127,2.55,73.38,74.57,67.63,17.96
36,9,2.4546145300128965,2.66,75.83,77.23,68.61,19.89
37,9,2.4834842039560177,2.47,78.31,79.7,69.63,18.68
38,9,2.503483193071306,2.61,80.81,82.31,70.57,19.63
39,9,2.529720810336669,2.47,83.34,84.78,71.56,19.019999999999996
40,9,2.547790648376369,2.69,85.89,87.47,72.5,19.97
41,9,2.5755284158535794,2.29,88.47,89.76,73.52,19.39
42,9,2.5970847213675916,2.75,91.07,92.51,74.38,19.15
43,9,2.6234827358538735,2.44,93.69,94.95,75.41,18.56
44,9,2.646213274846176,2.67,96.34,97.62,76.33,18.169999999999998
45,9,2.6693646865222367,2.86,99.01,100.48,77.32,18.36
46,9,2.684186039765431,2.68,101.69,103.16,78.38,20.1
47,9,2.7177831381193367,2.98,104.41,106.14,79.38,18.43
48,9,2.7379508358420015,2.79,107.15,108.93,80.48,19.54
49,9,2.768279889299272,2.93,109.92,111.86,81.5,18.060000000000002
50,9,2.7919876265808683,3.05,112.71,114.91,82.58,18.549999999999997
51,9,2.8105460849071533,2.83,115.52,117.74,83.69,19.62
52,9,2.8417813560957383,2.65,118.36,120.39,84.72,18.420000000000005
53,9,2.8561514850790104,2.65,121.22,123.04,85.68,19.55
54,9,2.884806523254906,3.09,124.1,126.13,86.63,18.57
55,9,2.9081482827869882,2.89,127.01,129.02,87.74,18.889999999999997
56,9,2.9344869902110453,2.72,129.94,131.74,88.78,18.36
57,9,2.9540990689659963,3.18,132.89,134.92,89.75,18.77
58,9,2.9726768971968602,2.78,135.86,137.7,90.88,19.459999999999997
59,9,2.947501408407558,2.88,138.81,140.58,91.86,21.23
60,9,2.9988606778339224,2.75,141.81,143.33,92.88,20.340000000000003
61,9,2.9428441739288513,3.13,144.75,146.46,93.85,22.1
62,9,3.018954361007706,3.23,147.77,149.69,94.94,21.0
63,9,3.08943010292519,2.88,150.86,152.57,96.07,19.17
64,9,3.081774059816752,2.96,153.94,155.53,97.07,20.470000000000002
65,9,3.108120507241297,3.34,157.05,158.87,98.09,20.300000000000004
66,9,3.109519365444887,3.22,160.16,162.09,99.24,20.880000000000003
67,9,3.1816595386364095,3.29,163.34,165.38,100.35,19.130000000000006
68,9,3.179423063045837,3.23,166.52,168.61,101.47,20.220000000000002
69,9,3.1782566965463355,3.1,169.7,171.71,102.57,20.8
70,9,3.2392693882694394,3.16,172.94,174.87,103.62,19.67
71,9,3.281680154121653,3.43,176.22,178.3,104.69,18.500000000000004
72,9,3.2565198758851186,3.2,179.48,181.5,105.84,20.47
73,9,3.2444032878053743,3.35,182.72,184.85,106.91,21.12
