floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight
0,13,1.6485911105779978,1.62,1.65,1.62,35.66
1,13,1.6676753795527477,1.89,3.32,3.51,36.26
2,13,1.6895403118786585,1.73,5.01,5.24,36.95
3,13,1.7093329246702575,1.98,6.72,7.22,37.58
4,13,1.7317216448666755,1.88,8.45,9.1,38.31
5,13,1.753224285975059,1.99,10.2,11.09,38.99
6,13,1.7759651981898408,1.92,11.98,13.01,39.72
7,13,1.7971720865050134,1.5,13.78,14.51,40.41
8,13,1.8140131726731172,1.76,15.59,16.27,40.96
9,13,1.8331530588158593,1.99,17.42,18.26,41.59
10,13,1.854728732168004,1.72,19.27,19.98,42.31
11,13,1.8734805866566817,1.61,21.14,21.59,42.93
12,13,1.8909062832988115,1.89,23.03,23.48,43.51
13,13,1.9105565596387768,1.94,24.94,25.42,44.18
14,13,1.9320971635648294,2.07,26.87,27.49,44.88
15,13,1.953631715700635,2.02,28.82,29.51,45.62
16,13,1.9749363109170508,1.82,30.79,31.33,46.34
17,13,1.9935385427816097,1.9,32.78,33.23,46.98
18,13,2.0133737786805206,2.1,34.79,35.33,47.66
19,13,2.034699986391642,2.29,36.82,37.62,48.4
20,13,2.0583779418248693,1.89,38.88,39.51,49.21
21,13,2.0767218015407183,2.07,40.96,41.58,49.87
22,13,2.097147371285451,2.23,43.06,43.81,50.6
23,13,2.1192442210724867,1.86,45.18,45.67,51.38
24,13,2.1379500858726193,1.99,47.32,47.66,52.03
25,13,2.158711843597069,1.9,49.48,49.56,52.73
26,13,2.177192878837098,2.17,51.66,51.73,53.39
27,13,2.198765771025416,2.26,53.86,53.99,54.14
28,13,2.218265086743241,2.02,56.08,56.01,54.92
29,13,2.239342409618338,2.17,58.32,58.18,55.62
30,13,2.2594179086399,2.01,60.58,60.19,56.37
31,13,2.278951424478596,2.45,62.86,62.64,57.06
32,13,2.2960648730670496,2.13,65.16,64.77,57.9
33,13,2.3210362269968745,2.15,67.48,66.92,58.63
34,13,2.3424799173609294,2.18,69.82,69.1,59.36
35,13,2.3589002368102086,2.3,72.18,71.4,60.1
36,13,2.38080787825265,2.19,74.56,73.59,60.88
37,13,2.402665456733279,2.61,76.96,76.2,61.62
38,13,2.4269621002483635,2.26,79.39,78.46,62.5
39,13,2.431802520092676,2.5,81.82,80.96,63.27
40,13,2.457693910474308,2.29,84.28,83.25,64.1
41,13,2.4833065341795004,2.59,86.76,85.84,64.87
42,13,2.5089225005294704,2.6,89.27,88.44,65.74
43,13,2.535166124814684,2.77,91.81,91.21,66.6
44,13,2.5593343973824023,2.66,94.37,93.87,67.52
45,13,2.579597421541909,2.71,96.95,96.58,68.4
46,13,2.6012036542121755,2.83,99.55,99.41,69.29
47,13,2.6293470882345495,2.74,102.18,102.15,70.22
48,13,2.653327180657582,2.49,104.83,104.64,71.12
49,13,2.6747338331988706,2.45,107.5,107.09,71.94
50,13,2.690045550591608,2.58,110.19,109.67,72.73
51,13,2.712436592797033,2.99,112.9,112.66,73.57
52,13,2.7180497342717844,2.52,115.62,115.18,74.54
53,13,2.7579075971967275,2.63,118.38,117.81,75.35
54,13,2.7719458537586528,2.97,121.15,120.78,76.2
55,13,2.803456775324433,2.94,123.95,123.72,77.15
56,13,2.8251502603159255,2.75,126.78,126.47,78.09
57,13,2.841588681245328,2.99,129.62,129.46,78.97
58,13,2.868929746834446,3.08,132.49,132.54,79.92
59,13,2.8904071066461636,2.81,135.38,135.35,80.89
60,13,2.921900968409453,2.92,138.3,138.27,81.78
61,13,2.943418003958582,3.07,141.24,141.34,82.69
62,13,2.966775471279048,3.06,144.21,144.4,83.66
63,13,2.988912098735279,3.19,147.2,147.59,84.61
64,13,3.0067340745881217,3.09,150.21,150.68,85.6
65,13,3.0078427477993146,2.98,153.22,153.66,86.56
66,13,3.0426858609169134,3.29,156.26,156.95,87.48
67,13,3.0413910507088677,2.94,159.3,159.89,88.49
68,13,3.0932665166630122,3.26,162.39,163.15,89.39
69,13,3.125959318095002,3.01,165.52,166.16,90.39
70,13,3.10226626229657,3.28,168.62,169.44,91.31
71,13,3.171133803030834,3.39,171.79,172.83,92.3
72,13,3.1949229031104927,2.92,174.98,175.75,93.33
73,13,3.2022451508442047,3.0,178.18,178.75,94.2
74,13,3.22453697638153,3.28,181.4,182.03,95.1
75,13,3.261559308206058,3.3,184.66,185.33,96.08
76,13,3.2329461142497897,3.19,187.89,188.52,97.07
77,13,3.2810923032658565,3.1,191.17,191.62,98.01
78,13,3.290441608140148,3.13,194.46,194.75,98.93
79,13,3.3157262262894767,3.16,197.78,197.91,99.85
80,13,3.354886200529062,3.27,201.13,201.18,100.78
81,13,3.3619923288972005,3.37,204.49,204.55,101.73
82,13,3.4128106509373692,3.15,207.9,207.7,102.72
83,13,3.4263852953292306,3.52,211.33,211.22,103.63
84,13,3.4482367453749663,3.66,214.78,214.88,104.65
85,13,3.4417648977671105,3.38,218.22,218.26,105.7
86,13,3.4859042504821547,3.56,221.71,221.82,106.67
87,13,3.5024827636806117,3.39,225.21,225.21,107.69
88,13,3.5088655872422714,3.45,228.72,228.66,108.65
89,13,3.5666143785110846,3.8,232.29,232.46,109.63
90,13,3.552861322990417,3.58,235.84,236.04,110.7
