floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight
0,11,1.6879238169266262,1.53,1.69,1.53,36.9
1,11,1.7055515665002012,1.5,3.4,3.03,37.46
2,11,1.7228298658074626,1.54,5.12,4.57,38.01
3,11,1.7405794467283573,2.0,6.86,6.57,38.58
4,11,1.7627230892675534,1.71,8.62,8.28,39.31
5,11,1.7822601005816472,1.77,10.4,10.05,39.93
6,11,1.8024051772826448,1.74,12.2,11.79,40.58
7,11,1.8216409717311044,2.08,14.02,13.87,41.21
8,11,1.844449680721997,1.88,15.86,15.75,41.96
9,11,1.864947722482145,2.09,17.72,17.84,42.64
10,11,1.8875214325908773,1.76,19.61,19.6,43.4
11,11,1.9064313841616447,1.89,21.52,21.49,44.03
12,11,1.926692081007594,2.04,23.45,23.53,44.71
13,11,1.947890010500033,1.95,25.4,25.48,45.44
14,11,1.9693552687686169,1.96,27.37,27.44,46.14
15,11,1.9894770492615397,2.24,29.36,29.68,46.84
16,11,2.012660198383233,2.27,31.37,31.95,47.63
17,11,2.0360021319155654,1.95,33.41,33.9,48.44
18,11,2.0559347892181092,1.77,35.47,35.67,49.13
19,11,2.0738771717177062,2.12,37.54,37.79,49.76
20,11,2.0953920678407907,2.38,39.64,40.17,50.5
21,11,2.118603062118514,2.1,41.76,42.27,51.34
22,11,2.1390496911756762,2.43,43.9,44.7,52.08
23,11,2.162889891785363,2.38,46.06,47.08,52.93
24,11,2.1864916508455123,2.29,48.25,49.37,53.76
25,11,2.2097299458212256,2.27,50.46,51.64,54.55
26,11,2.23160302161942,2.4,52.69,54.04,55.34
27,11,2.25525815719189,1.98,54.95,56.02,56.17
28,11,2.271332048274884,2.1,57.22,58.12,56.85
29,11,2.293316187486606,2.19,59.51,60.31,57.58
30,11,2.3130416367571534,2.18,61.82,62.49,58.33
31,11,2.333821511171284,2.18,64.15,64.67,59.07
32,11,2.3472732078406398,2.5,66.5,67.17,59.82
33,11,2.3760814738424374,2.25,68.88,69.42,60.67
34,11,2.3984010757400407,2.68,71.28,72.1,61.43
35,11,2.4184498767567177,2.26,73.7,74.36,62.34
36,11,2.4397500172325914,2.56,76.14,76.92,63.1
37,11,2.4651866731309267,2.73,78.61,79.65,63.97
38,11,2.4901394509012666,2.2,81.1,81.85,64.88
39,11,2.491227561717593,2.53,83.59,84.38,65.62
40,11,2.517745649130807,2.68,86.11,87.06,66.46
41,11,2.5473329383701944,2.26,88.66,89.32,67.36
42,11,2.570107748523331,2.28,91.23,91.6,68.11
43,11,2.5939263426414736,2.45,93.82,94.05,68.86
44,11,2.6150255623844907,2.76,96.44,96.81,69.67
45,11,2.635399287820026,2.57,99.08,99.38,70.58
46,11,2.6552901949202794,2.41,101.74,101.79,71.42
47,11,2.6802745841862414,2.85,104.42,104.64,72.21
48,11,2.7049321658503387,2.92,107.12,107.56,73.14
49,11,2.7292511792566696,2.84,109.85,110.4,74.08
50,11,2.7468841625517313,2.45,112.6,112.85,75.0
51,11,2.767983844759998,2.59,115.37,115.44,75.79
52,11,2.767834287076235,3.06,118.14,118.5,76.63
53,11,2.814093105166784,2.66,120.95,121.16,77.61
54,11,2.8269001812890746,2.96,123.78,124.12,78.46
55,11,2.859031258075311,2.76,126.64,126.88,79.4
56,11,2.878797197993621,2.88,129.52,129.76,80.28
57,11,2.8950562439609127,2.88,132.42,132.64,81.19
58,11,2.921728787051392,2.83,135.34,135.47,82.1
59,11,2.9407880159719517,2.97,138.28,138.44,82.99
60,11,2.9742941405882695,2.69,141.25,141.13,83.92
61,11,2.9938190497621147,3.28,144.24,144.41,84.76
62,11,3.0181498660525508,2.92,147.26,147.33,85.78
63,11,3.0390139141156847,3.17,150.3,150.5,86.69
64,11,3.055449554016548,3.22,153.36,153.72,87.66
65,11,3.0551428882579246,2.94,156.42,156.66,88.66
66,11,3.090559108805655,2.98,159.51,159.64,89.56
67,11,3.084771472594511,3.0,162.59,162.64,90.47
68,11,3.1392423009216057,3.38,165.73,166.02,91.38
69,11,3.1733826741438365,3.07,168.9,169.09,92.41
70,11,3.145719216774037,3.19,172.05,172.28,93.33
71,11,3.217763019848226,3.22,175.27,175.5,94.3
72,11,3.239714985596701,3.11,178.51,178.61,95.26
73,11,3.247046361482787,3.19,181.76,181.8,96.19
74,11,3.270433567122292,3.17,185.03,184.97,97.14
75,11,3.30775903047296,3.47,188.34,188.44,98.08
76,11,3.275830441423479,3.04,191.62,191.48,99.11
77,11,3.3245600437545466,3.54,194.94,195.02,100.0
78,11,3.3355004142795144,3.53,198.28,198.55,101.04
79,11,3.3633001500534143,3.24,201.64,201.79,102.07
80,11,3.4040309849279455,3.37,205.04,205.16,103.01
81,11,3.410400777993982,3.36,208.45,208.52,103.99
82,11,3.4632014455597253,3.41,211.91,211.93,104.96
83,11,3.47745675397896,3.29,215.39,215.22,105.94
84,11,3.49727044730722,3.73,218.89,218.95,106.88
85,11,3.4884595895100796,3.48,222.38,222.43,107.94
86,11,3.534584597085237,3.24,225.91,225.67,108.93
87,11,3.5483871141267724,3.71,229.46,229.38,109.85
88,11,3.555243201513499,3.58,233.02,232.96,110.89
89,11,3.616376204843969,3.67,236.64,236.63,111.9
90,11,3.598465313307282,3.6,240.24,240.23,112.92
