floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,17,1.7321062805499994,1.92,1.73,1.92,37.81,18.79
1,17,1.7580193659499999,1.82,3.49,3.74,38.57,18.79
2,17,1.7865442891999994,1.57,5.28,5.31,39.28,18.270000000000003
3,17,1.8027858729999997,1.93,7.08,7.24,39.9,18.78
4,17,1.8389617723,1.68,8.92,8.92,40.66,17.41
5,17,1.8438468432999995,1.82,10.76,10.74,41.31,19.2
6,17,1.8738806011999998,1.59,12.63,12.33,42.02,18.64
7,17,1.8860667148,1.74,14.52,14.07,42.64,19.21
8,17,1.9043496471999997,2.04,16.42,16.11,43.32,19.400000000000002
9,17,1.9457253087999997,1.69,18.37,17.8,44.11,18.22
10,17,1.9502421027999992,2.0,20.32,19.8,44.76,19.3
11,17,1.9903515464500003,1.84,22.31,21.64,45.53,18.21
12,17,1.9827041727999997,1.75,24.29,23.39,46.24,19.9
13,17,2.0099042165499994,1.94,26.3,25.33,46.91,19.53
14,17,1.9997431362499998,2.1,28.3,27.43,47.65,20.85
15,17,2.0154250608,2.13,30.32,29.56,48.46,21.08
16,17,1.9797137836999992,1.8,32.3,31.36,49.27,22.799999999999997
17,17,1.9977369167499994,2.07,34.3,33.43,49.95,22.77
18,17,2.0491831682999995,2.13,36.35,35.56,50.74,21.89
19,17,2.0887433532999995,1.93,38.44,37.49,51.54,21.31
20,17,2.0588419437,2.02,40.5,39.51,52.27,22.639999999999997
21,17,2.0774834992000004,1.98,42.58,41.49,53.03,22.619999999999994
22,17,2.1088900051999993,2.04,44.69,43.53,53.77,22.259999999999998
23,17,2.1290263648,2.1,46.82,45.63,54.54,22.2
24,17,2.0950224561999993,2.38,48.92,48.01,55.32,23.41
25,17,2.12491778105,1.95,51.04,49.96,56.21,23.169999999999998
26,17,2.1611455722000006,2.28,53.2,52.24,56.93,22.7
27,17,2.1639384439500002,2.05,55.36,54.29,57.77,23.029999999999998
28,17,2.2431571626999998,2.16,57.6,56.45,58.53,21.56
29,17,2.2275400224499986,2.43,59.83,58.88,59.33,22.33
30,17,2.2788682992,2.35,62.11,61.23,60.22,21.559999999999995
31,17,2.2279367091999998,2.34,64.34,63.57,61.08,23.06
32,17,2.2193777411999993,2.01,66.56,65.58,61.93,23.54
33,17,2.256406470699999,2.06,68.82,67.64,62.67,23.08
34,17,2.2818744203000003,2.57,71.1,70.21,63.41,22.84
35,17,2.3218823402999997,2.16,73.42,72.37,64.34,22.369999999999997
36,17,2.3924425471999995,2.3,75.81,74.67,65.12,21.16
37,17,2.429614797,2.73,78.24,77.4,65.95,20.659999999999997
38,17,2.4276782609499996,2.33,80.67,79.73,66.93,21.109999999999996
39,17,2.4670421408000003,2.55,83.14,82.28,67.76,20.559999999999995
40,17,2.451751056700001,2.25,85.59,84.53,68.67,21.239999999999995
41,17,2.4562692471999994,2.45,88.05,86.98,69.47,21.419999999999995
42,17,2.514314121799999,2.58,90.56,89.56,70.34,20.499999999999993
43,17,2.5412504845,2.34,93.1,91.9,71.25,20.239999999999995
44,17,2.530099979199999,2.81,95.63,94.71,72.08,20.759999999999994
45,17,2.5936447743000004,2.37,98.22,97.08,73.06,19.729999999999997
46,17,2.5713620112999998,2.37,100.79,99.45,73.89,20.479999999999993
47,17,2.5939189272000007,2.8,103.38,102.25,74.72,20.269999999999996
48,17,2.6776441542999994,2.87,106.06,105.12,75.69,18.759999999999994
49,17,2.6733663232999993,2.82,108.73,107.94,76.69,19.199999999999992
50,17,2.6938637797999996,2.72,111.42,110.66,77.66,19.059999999999995
51,17,2.694842428,2.75,114.11,113.41,78.6,19.319999999999993
52,17,2.6870959322999997,2.89,116.8,116.3,79.54,19.729999999999997
53,17,2.695930582700001,2.82,119.5,119.12,80.53,19.799999999999994
54,17,2.761718831299999,2.51,122.26,121.63,81.49,18.719999999999995
55,17,2.711959911800001,2.59,124.97,124.22,82.34,19.899999999999995
56,17,2.7266033466999997,2.46,127.7,126.68,83.22,19.809999999999995
57,17,2.728312182,2.77,130.43,129.45,84.05,19.939999999999994
58,17,2.8128647906999995,2.8,133.24,132.25,84.98,18.529999999999998
59,17,2.7422086718,2.66,135.98,134.91,85.91,20.019999999999992
60,17,2.6807618319999995,2.51,138.66,137.42,86.8,21.159999999999993
61,17,2.8472133497999987,2.68,141.51,140.1,87.64,18.409999999999993
62,17,2.7345839167000014,2.91,144.24,143.01,88.53,20.519999999999992
63,17,2.839209115299999,2.55,147.08,145.56,89.49,18.879999999999995
64,17,2.8451897092,2.63,149.93,148.19,90.33,18.89999999999999
65,17,2.8084182662999995,2.76,152.74,150.95,91.19,19.639999999999993
66,17,2.8536749885499995,2.62,155.59,153.57,92.09,18.989999999999995
67,17,2.9068798867500005,3.16,158.5,156.73,92.95,18.169999999999995
68,17,2.8784646989499993,2.73,161.38,159.46,93.97,18.79
69,17,2.7980780863,2.71,164.18,162.17,94.86,20.15
70,17,2.8849352961999997,3.07,167.06,165.24,95.73,18.86
71,17,2.850191345199999,3.11,169.91,168.35,96.72,19.49
72,17,2.8938096433,2.81,172.8,171.16,97.71,18.880000000000003
73,17,2.8287985212999995,3.01,175.63,174.17,98.61,19.92
74,17,2.8611228317999995,2.7,178.49,176.87,99.56,19.490000000000002
75,17,2.9671758366999987,2.77,181.46,179.64,100.42,17.89
76,17,2.950590882049999,2.67,184.41,182.31,101.29,18.21
77,17,2.7894329884499984,3.03,187.2,185.34,102.13,20.57
78,17,2.842650929199999,2.55,190.04,187.89,103.08,19.860000000000003
79,17,2.7655756621999985,2.88,192.81,190.77,103.88,20.89
80,17,2.9161422974499986,2.7,195.73,193.47,104.77,18.85
81,17,2.882029519800001,2.79,198.61,196.26,105.61,19.34
82,17,2.9095599516999986,2.88,201.52,199.14,106.47,18.96
83,17,2.8788271648,2.77,204.4,201.91,107.36,19.38
84,17,2.969556501549999,3.14,207.37,205.05,108.21,18.11
85,17,2.9098086141999984,3.15,210.28,208.2,109.17,18.939999999999998
86,17,2.927031463449999,2.87,213.21,211.07,110.13,18.69
87,17,2.960063997999998,2.8,216.17,213.87,111.0,18.22
88,17,2.9696283927999994,2.72,219.14,216.59,111.84,18.07
89,17,2.9243005297999995,2.91,222.06,219.5,112.66,18.66
90,17,2.9049551496999992,3.07,224.96,222.57,113.53,18.88
